authors	title	genre	summary
Tahereh Mafi	Shatter Me (Shatter Me, #1)	young_adult	I have a curseI have a giftI am a monsterI'm more than humanMy touch is lethalMy touch is powerI am their weaponI will fight backJuliette hasn’t touched anyone in exactly 264 days.The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette’s touch is fatal. As long as she doesn’t hurt anyone else, no one really cares. The world is too busy crumbling to pieces to pay attention to a 17-year-old girl. Diseases are destroying the population, food is hard to find, birds don’t fly anymore, and the clouds are the wrong color.The Reestablishment said their way was the only way to fix things, so they threw Juliette in a cell. Now so many people are dead that the survivors are whispering war – and The Reestablishment has changed its mind. Maybe Juliette is more than a tortured soul stuffed into a poisonous body. Maybe she’s exactly what they need right now.Juliette has to make a choice: Be a weapon. Or be a warrior.
Robert A. Heinlein	Starship Troopers	classics	"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy."
Sophie Kinsella	I've Got Your Number	romance	I’ve lost it. :( The only thing in the world I wasn’t supposed to lose. My engagement ring. It’s been in Magnus’s family for three generations. And now the very same day his parents are coming, I’ve lost it. The very same day! Do not hyperventilate, Poppy. Stay positive :) !!   Poppy Wyatt has never felt luckier. She is about to marry her ideal man, Magnus Tavish, but in one afternoon her “happily ever after” begins to fall apart. Not only has she lost her engagement ring in a hotel fire drill but in the panic that follows, her phone is stolen. As she paces shakily around the lobby, she spots an abandoned phone in a trash can. Finders keepers! Now she can leave a number for the hotel to contact her when they find her ring. Perfect!   Well, perfect except that the phone’s owner, businessman Sam Roxton, doesn’t agree. He wants his phone back and doesn’t appreciate Poppy reading his messages and wading into his personal life.   What ensues is a hilarious and unpredictable turn of events as Poppy and Sam increasingly upend each other’s lives through emails and text messages. As Poppy juggles wedding preparations, mysterious phone calls, and hiding her left hand from Magnus and his parents . . . she soon realizes that she is in for the biggest surprise of her life.
Jostein Gaarder, Paulette Møller	Sophie's World	classics	"An alternative cover for this ISBN can be found hereOne day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: ""Who are you?"" and ""Where does the world come from?"" From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond what she knows of her Norwegian village. Through those letters, she enrolls in a kind of correspondence course, covering Socrates to Sartre, with a mysterious philosopher, while receiving letters addressed to another girl. Who is Hilde? And why does her mail keep turning up? To unravel this riddle, Sophie must use the philosophy she is learning—but the truth turns out to be far more complicated than she could have imagined."
Mark Cotta Vaz	The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)	fantasy	A companion to the film, illustrated with full color photos.
Ray Bradbury	The Martian Chronicles	classics	The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a fist. They felt they had never been born. Those few that survived found no welcome on Mars. The shape-changing Martians thought they were native lunatics and duly locked them up.But more rockets arrived from Earth, and more, piercing the hallucinations projected by the Martians. People brought their old prejudices with them – and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.Contents:Rocket SummerYllaThe Summer NightThe Earth MenThe TaxpayerThe Third Expedition-And the Moon Be Still As BrightThe SettlersThe Green MorningThe LocustsNight MeetingThe ShoreInterimThe MusiciansWay in the Middle of the AirThe Naming of NamesUsher IIThe Old OnesThe MartianThe Luggage StoreThe Off SeasonThe WatchersThe Silent TownsThe Long YearsThere Will Come Soft RainsThe Million Year Picnic
Johanna Spyri, Angelo  Rinaldi, Beverly Cleary	Heidi	classics	Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.
Michael Crichton	Prey	thriller	In the Nevada desert, an experiment has gone horribly wrong. A cloud of nanoparticles -- micro-robots -- has escaped from the laboratory. This cloud is self-sustaining and self-reproducing. It is intelligent and learns from experience. For all practical purposes, it is alive.It has been programmed as a predator. It is evolving swiftly, becoming more deadly with each passing hour.Every attempt to destroy it has failed.And we are the prey.
C.S. Lewis	The Last Battle (Chronicles of Narnia, #7)	fantasy	This edition of Lewis's classic fantasy fiction is packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive P.S. section about the history of the book, plus a round-up of the first six titles.
Ken Follett	World Without End (The Kingsbridge Series, #2)	romance	Librarian's note: An alternate cover edition can be found hereWorld Without End takes place in the same town of Kingsbridge, two centuries after the townspeople finished building the exquisite Gothic cathedral that was at the heart of The Pillars of the Earth. The cathedral and the priory are again at the center of a web of love and hate, greed and pride, ambition and revenge, but this sequel stands on its own. This time the men and women of an extraordinary cast of characters find themselves at a crossroads of new ideas—about medicine, commerce, architecture, and justice. In a world where proponents of the old ways fiercely battle those with progressive minds, the intrigue and tension quickly reach a boiling point against the devastating backdrop of the greatest natural disaster ever to strike the human race—the Black Death.
P.C. Cast, Kristin Cast	Chosen (House of Night, #3)	young_adult	Dark forces are at work at the House of Night and Zoey Redbird’s adventures at the school take a mysterious turn. Her best friend, Stevie Rae, is undead and struggling to maintain a grip on her humanity. Zoey finds herself in the very unexpected and rare situation of having three boyfriends. Mix a little bloodlust into the equation and the situation has the potential to spell social disaster. Just when it seems things couldn’t get any tougher, vampyres start turning up dead. Really dead. It looks like the People of Faith are tired of living side-by-side with vampyres. But, as Zoey and her friends so often find out, how things appear rarely affects the truth…
Colleen Hoover	Slammed (Slammed, #1)	romance	This is an alternate cover edition for  ASIN B008TRUDAS.Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.Enter Will Cooper: The attractive, 21-year-old new neighbor with an intriguing passion for slam poetry and a unique sense of humor. Within days of their introduction, Will and Layken form an intense emotional connection, leaving Layken with a renewed sense of hope.Not long after an intense, heart-stopping first date, they are slammed to the core when a shocking revelation forces their new relationship to a sudden halt. Daily interactions become impossibly painful as they struggle to find a balance between the feelings that pull them together, and the secret that keeps them apart.
Alex Flinn	Beastly (Beastly, #1; Kendra Chronicles, #1)	young_adult	I am a beast.A beast. Not quite wolf or bear, gorilla or dog but a horrible new creature who walks upright—a creature with fangs and claws and hair springing from every pore. I am a monster.You think I'm talking fairy tales? No way. The place is New York City. The time is now. It's no deformity, no disease. And I'll stay this way forever—ruined—unless I can break the spell.Yes, the spell, the one the witch in my English class cast on me. Why did she turn me into a beast who hides by day and prowls by night? I'll tell you. I'll tell you how I used to be Kyle Kingsbury, the guy you wished you were, with money, perfect looks, and the perfect life. And then, I'll tell you how I became perfectly . . . beastly.
Geoffrey Chaucer, Nevill Coghill	The Canterbury Tales	classics	The procession that crosses Chaucer's pages is as full of life and as richly textured as a medieval tapestry. The Knight, the Miller, the Friar, the Squire, the Prioress, the Wife of Bath, and others who make up the cast of characters -- including Chaucer himself -- are real people, with human emotions and weaknesses. When it is remembered that Chaucer wrote in English at a time when Latin was the standard literary language across western Europe, the magnitude of his achievement is even more remarkable. But Chaucer's genius needs no historical introduction; it bursts forth from every page of The Canterbury Tales.If we trust the General Prologue, Chaucer intended that each pilgrim should tell two tales on the way to Canterbury and two tales on the way back. He never finished his enormous project and even the completed tales were not finally revised. Scholars are uncertain about the order of the tales. As the printing press had yet to be invented when Chaucer wrote his works, The Canterbury Tales has been passed down in several handwritten manuscripts.
Emily Giffin	Baby Proof	romance	From the author of the smash hits Something Borrowed and Something Blue comes a novel that explores the question: is there ever a deal-breaker when it comes to true love?First comes love. Then comes marriage. Then comes . . . a baby carriage? Isn't that what all women want?Not so for Claudia Parr. And just as she gives up on finding a man who feels the same way, she meets warm, wonderful Ben. Things seem too good to be true when they fall in love and agree to buck tradition with a satisfying, child-free marriage. Then the unexpected occurs: one of them has a change of heart. One of them wants children after all.This is the witty, heartfelt story about what happens to the perfect couple when they suddenly want different things. It's about feeling that your life is set and then realizing that nothing is as you thought it was—and that there is no possible compromise. It's about deciding what is most important in life, and taking chances to get it. But most of all, it's about the things we will do—and won't do—for love.
Christopher Paolini	Inheritance (The Inheritance Cycle, #4)	fantasy	It began with Eragon... It ends with Inheritance.Not so very long ago, Eragon — Shadeslayer, Dragon Rider — was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders.Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chance.The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost?This is the spellbinding conclusion to Christopher Paolini's worldwide bestselling Inheritance cycle.
Haruki Murakami, Jay Rubin, Philip Gabriel	1Q84	fantasy	The year is 1984 and the city is Tokyo.A young woman named Aomame follows a taxi driver’s enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 —“Q is for ‘question mark.’ A world that bears a question.” Meanwhile, an aspiring writer named Tengo takes on a suspect ghostwriting project. He becomes so wrapped up with the work and its unusual author that, soon, his previously placid life begins to come unraveled. As Aomame’s and Tengo’s narratives converge over the course of this single year, we learn of the profound and tangled connections that bind them ever closer: a beautiful, dyslexic teenage girl with a unique vision; a mysterious religious cult that instigated a shoot-out with the metropolitan police; a reclusive, wealthy dowager who runs a shelter for abused women; a hideously ugly private investigator; a mild-mannered yet ruthlessly efficient bodyguard; and a peculiarly insistent television-fee collector.A love story, a mystery, a fantasy, a novel of self-discovery, a dystopia to rival George Orwell’s — 1Q84 is Haruki Murakami’s most ambitious undertaking yet: an instant best seller in his native Japan, and a tremendous feat of imagination from one of our most revered contemporary writers.
Harriet Beecher Stowe	Uncle Tom's Cabin	classics	The narrative drive of Stowe's classic novel is often overlooked in the heat of the controversies surrounding its anti-slavery sentiments. In fact, it is a compelling adventure story with richly drawn characters and has earned a place in both literary and American history. Stowe's puritanical religious beliefs show up in the novel's final, overarching theme—the exploration of the nature of Christianity and how Christian theology is fundamentally incompatible with slavery.
Gaston Leroux, Alexander Teixeira de Mattos	The Phantom of the Opera	classics	First published in French as a serial in 1909, The Phantom of the Opera is a riveting story that revolves around the young, Swedish Christine Daaé. Her father, a famous musician, dies, and she is raised in the Paris Opera House with his dying promise of a protective angel of music to guide her. After a time at the opera house, she begins hearing a voice, who eventually teaches her how to sing beautifully. All goes well until Christine's childhood friend Raoul comes to visit his parents, who are patrons of the opera, and he sees Christine when she begins successfully singing on the stage. The voice, who is the deformed, murderous 'ghost' of the opera house named Erik, however, grows violent in his terrible jealousy, until Christine suddenly disappears. The phantom is in love, but it can only spell disaster.Leroux's work, with characters ranging from the spoiled prima donna Carlotta to the mysterious Persian from Erik's past, has been immortalized by memorable adaptations. Despite this, it remains a remarkable piece of Gothic horror literature in and of itself, deeper and darker than any version that follows.
[Charlaine Harris]	Definitely Dead (Sookie Stackhouse, #6)	fantasy	Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past, or Hadley's possessions. And they're prepared to do anything in their power to stop her. Whoever it is, they're definitely dangerous - and Sookie's life is definitely on the line...
[José Saramago, Giovanni Pontiero, زهره افتخاری]	Blindness	classics	"From Nobel Prize–winning author José Saramago, a magnificent, mesmerizing parable of lossA city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations and assaulting women. There is one eyewitness to this nightmare who guides her charges—among them a boy with no mother, a girl with dark glasses, a dog of tears—through the barren streets, and their procession becomes as uncanny as the surroundings are harrowing. As Blindness reclaims the age-old story of a plague, it evokes the vivid and trembling horrors of the twentieth century, leaving readers with a powerful vision of the human spirit that's bound both by weakness and exhilarating strength."
Ally Condie	Crossed (Matched, #2)	young_adult	The Society chooses everything. The books you read. The music you listen to. The person you love. Yet for Cassia the rules have changed. Ky has been taken and she will sacrifice everything to find him. And when Cassia discovers Ky has escaped to the wild frontiers beyond the Society there is hope.But on the edge of society nothing is as it seems...A rebellion is rising.And a tangled web of lies and double-crosses could destroy everything.
Ally Carter	I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)	young_adult	"Cammie Morgan is a student at the Gallagher Academy for Exceptional Young Women, a fairly typical all-girls school—that is, if every school taught advanced martial arts in PE and the latest in chemical warfare in science, and students received extra credit for breaking CIA codes in computer class. The Gallagher Academy might claim to be a school for geniuses, but it's really a school for spies. Even though Cammie is fluent in fourteen languages and capable of killing a man in seven different ways, she has no idea what to do when she meets an ordinary boy who thinks she's an ordinary girl. Sure, she can tap his phone, hack into his computer, or track him through town with the skill of a real ""pavement artist""—but can she maneuver a relationship with someone who can never know the truth about her? Cammie Morgan may be an elite spy-in-training, but in her sophomore year, she's on her most dangerous mission—falling in love."
Michael Crichton	Congo	thriller	Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …source: michaelcrichton.com
Judith Viorst, Ray Cruz	Alexander and the Terrible, Horrible, No Good, Very Bad Day	classics	The perennially popular tale of Alexander's worst day is a storybook that belongs on every child's bookshelf.Alexander knew it was going to be a terrible day when he woke up with gum in this hair.And it got worse...His best friend deserted him. There was no dessert in his lunch bag. And, on top of all that, there were lima beans for dinner and kissing on TV!This handsome new edition of Judith Viorst's classic picture book is sure to charm readers of all ages.
Howard Zinn	A People's History of the United States	classics	Library Journal calls Howard Zinn’s iconic A People's History of the United States “a brilliant and moving history of the American people from the point of view of those…whose plight has been largely omitted from most histories.” Packed with vivid details and telling quotations, Zinn’s award-winning classic continues to revolutionize the way American history is taught and remembered. Frequent appearances in popular media such as The Sopranos, The Simpsons, Good Will Hunting, and the History Channel documentary The People Speak testify to Zinn’s ability to bridge the generation gap with enduring insights into the birth, development, and destiny of the nation
Truman Capote	Breakfast at Tiffany's	classics	It's New York in the 1940s, where the martinis flow from cocktail hour till breakfast at Tiffany's. And nice girls don't, except, of course, Holly Golightly. Pursued by Mafia gangsters and playboy millionaires, Holly is a fragile eyeful of tawny hair and turned-up nose, a heart-breaker, a perplexer, a traveller, a tease. She is irrepressibly 'top banana in the shock department', and one of the shining flowers of American fiction.This edition also contains three stories: 'House of Flowers', 'A Diamond Guitar' and 'A Christmas Memory'.
Justin Cronin	The Passage (The Passage, #1)	fantasy	IT HAPPENED FAST.THIRTY-TWO MINUTES FOR ONE WORLD TO DIE, ANOTHER TO BE BORN.First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for the stunned survivors is the long fight ahead and a future ruled by fear--of darkness, of death, of a fate far worse.As civilization swiftly crumbles into a primal landscape of predators and prey, two people flee in search of sanctuary. FBI agent Brad Wolgast is a good man haunted by what he's done in the line of duty. Six-year-old orphan Amy Harper Bellafonte is a refugee from the doomed scientific project that has triggered apocalypse. Wolgast is determined to protect her from the horror set loose by her captors, but for Amy, escaping the bloody fallout is only the beginning of a much longer odyssey--spanning miles and decades--toward the time an place where she must finish what should never have begun.With The Passage, award-winning author Justin Cronin has written both a relentlessly suspenseful adventure and an epic chronicle of human endurance in the face of unprecedented catastrophe and unimaginable danger. Its inventive storytelling, masterly prose, and depth of human insight mark it as a crucial and transcendent work of modern fiction.(front flap)
Neil Gaiman	Anansi Boys	fantasy	God is dead. Meet the kids.  Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother.  Now brother Spider's on his doorstep -- about to make Fat Charlie's life more interesting... and a lot more dangerous.
Sarah Dessen	Along for the Ride	young_adult	It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the charming beach town where they live.A job in a clothes boutique introduces Auden to the world of girls: their talk, their friendship, their crushes. She missed out on all that, too busy being the perfect daughter to her demanding mother. Then she meets Eli, an intriguing loner and a fellow insomniac who becomes her guide to the nocturnal world of the town. Together they embark on parallel quests: for Auden, to experience the carefree teenage life she’s been denied; for Eli, to come to terms with the guilt he feels for the death of a friend.In her signature pitch-perfect style, Sarah Dessen explores the hearts of two lonely people learning to connect.
Isabel Allende, Magda Bogin	The House of the Spirits	classics	In one of the most important and beloved Latin American works of the twentieth century, Isabel Allende weaves a luminous tapestry of three generations of the Trueba family, revealing both triumphs and tragedies. Here is patriarch Esteban, whose wild desires and political machinations are tempered only by his love for his ethereal wife, Clara, a woman touched by an otherworldly hand. Their daughter, Blanca, whose forbidden love for a man Esteban has deemed unworthy infuriates her father, yet will produce his greatest joy: his granddaughter Alba, a beautiful, ambitious girl who will lead the family and their country into a revolutionary future.The House of the Spirits is an enthralling saga that spans decades and lives, twining the personal and the political into an epic novel of love, magic, and fate.
Stephen King	The Dead Zone	thriller	Johnny, the small boy who skated at breakneck speed into an accident that for one horrifying moment plunged him into The Dead Zone. Johnny Smith, the small-town schoolteacher who spun the wheel of fortune and won a four-and-a-half-year trip into The Dead Zone. John Smith, who awakened from an interminable coma with an accursed power—the power to see the future and the terrible fate awaiting mankind in The Dead Zone.~
Agatha Christie, Ροζίτα Σώκου	The Mysterious Affair at Styles (Hercule Poirot, #1)	classics	Agatha Christie's debut novel was the first to feature Hercule Poirot, her famously eccentric Belgian detective. A refugee of the Great War, Poirot is settling in England near Styles Court, the country estate of his wealthy benefactress, the elderly Emily Inglethorp. When Emily is poisoned and the authorities are baffled, Poirot puts his prodigious sleuthing skills to work. Suspects are plentiful, including the victim’s much younger husband, her resentful stepsons, her longtime hired companion, a young family friend working as a nurse, and a London specialist on poisons who just happens to be visiting the nearby village. All of them have secrets they are desperate to keep, but none can outwit Poirot as he navigates the ingenious red herrings and plot twists that earned Agatha Christie her well-deserved reputation as the queen of mystery.
Agatha Christie	Murder on the Orient Express (Hercule Poirot, #10)	classics	Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.
Chimamanda Ngozi Adichie	Americanah	romance	Ifemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion—for each other and for their homeland.
James Patterson	Suzanne's Diary for Nicholas	romance	Beautifully captures the joys of a new family as it builds to an overwhelmingly moving climax. This is an unforgettable love story, at once heartbreaking and full of hope.James Patterson has written a love story!--a powerfully moving and suspenseful novel about families, loss, new love, and hope. Katie Wilkinson has found her perfect man at last. He's a writer, a house painter, an original thinker--everything she's imagined she wanted in a partner. But one day, without explanation, he disappears from her life, leaving behind only a diary for her to read. This diary is a love letter written by a new mother named Suzanne for her baby son, Nicholas. In it she pours out her heart about how she and the boy's father met, about her hopes for marriage and family, and about the unparalleled joy that having a baby has brought into her life. As Katie reads this touching document, it becomes clear that the lover who has just left her is the husband and father in this young family. She reads on, filled with terror and hope, as she struggles to understand what has happened--and whether her new love has a prayer of surviving. Written with James Patterson's perfect pitch for emotion and suspense, Suzanne's Diary for Nicholas captures beautifully the joys of a new family as it builds to an overwhelmingly moving climax. This is an unforgettable love story, at once heartbreaking and full of hope.
Stephen King	Firestarter	thriller	"The Department of Scientific Intelligence (aka ""The Shop"") never anticipated that two participants in their research program would marry and have a child. Charlie McGee inherited pyrokinetic powers from her parents, who had been given a low-grade hallucinogen called ""Lot Six"" while at college. Now the government is trying to capture young Charlie and harness her powerful firestarting skills as a weapon.--stephenking.com"
Sylvia Day	Entwined with You (Crossfire, #3)	romance	From the moment I first met Gideon Cross, I recognized something in him that I needed. Something I couldn't resist. I saw the dangerous and damaged soul inside--so much like my own. I was drawn to it. I needed him as surely as I needed my heart to beat.No one knows how much he risked for me. How much I'd been threatened, or just how dark and desperate the shadow of our pasts would become.Entwined by our secrets, we tried to defy the odds. We made our own rules and surrendered completely to the exquisite power of possession...
Gabrielle Zevin	The Storied Life of A.J. Fikry	romance	As surprising as it is moving, The Storied Life of A. J. Fikry is an unforgettable tale of transformation and second chances, an irresistible affirmation of why we read, and why we love.We are not quite novels.We are not quite short stories.In the end, we are collected works.A. J. Fikry's life is not at all what he expected it to be. His wife has died; his bookstore is experiencing the worst sales in its history; and now his prized possession, a rare collection of Poe poems, has been stolen. Slowly but surely, he is isolating himself from all the people of Alice Island—from Chief Lambiase, the well-intentioned police officer who's always felt kindly toward him; from Ismay, his sister-in-law, who is hell-bent on saving A.J. from his dreary self; from Amelia, the lovely and idealistic (if eccentric) Knightley Press sales rep who persists in taking the ferry to Alice Island, refusing to be deterred by A.J.'s bad attitude. Even the books in his store have stopped holding pleasure for him. These days, he can only see them as a sign of a world that is changing too rapidly.And then a mysterious package appears at the bookstore. It's a small package, though large in weight—an unexpected arrival that gives A.J. the opportunity to make his life over, the ability to see everything anew. It doesn't take long for the locals to notice the change overcoming A.J., for the determined sales rep Amelia to see her curmudgeonly client in a new light, for the wisdom of all those books to become again the lifeblood of A.J.'s world. Or for everything to twist again into a version of his life that he didn't see coming.
Ludwig Bemelmans	Madeline	classics	Madeline is one of the best-loved characters in children's literature. Set in picturesque Paris, this tale of a brave little girl's trip to the hospital was a Caldecott Honor Book in 1940 and has as much appeal today as it did then. The combination of a spirited heroine, timelessly appealing art, cheerful humor, and rhythmic text makes Madeline a perennial favorite with children of all ages.
Laura Ingalls Wilder, Garth Williams	Little House in the Big Woods (Little House, #1)	classics	Based on the real-life adventures of Laura Ingalls Wilder, Little House in the Big Woods is the first book in the award-winning Little House series, which has captivated generations of readers. This edition features the classic black-and-white artwork from Garth Williams.Little House in the Big Woods takes place in 1871 and introduces us to four-year-old Laura, who lives in a log cabin on the edge of the Big Woods of Wisconsin. She shares the cabin with her Pa, her Ma, her sisters Mary and Carrie, and their lovable dog, Jack.Pioneer life isn’t easy for the Ingalls family, since they must grow or catch all their own food as they get ready for the cold winter. But they make the best of every tough situation. They celebrate Christmas with homemade toys and treats, do their spring planting, bring in the harvest in the fall, and make their first trip into town. And every night, safe and warm in their little house, the sound of Pa’s fiddle lulls Laura and her sisters into sleep.The nine books in the timeless Little House series tell the story of Laura’s real childhood as an American pioneer, and are cherished by readers of all generations. They offer a unique glimpse into life on the American frontier, and tell the heartwarming, unforgettable story of a loving family.
Susanna Clarke	Jonathan Strange & Mr Norrell	fantasy	Librarian note: Alternate cover edition of 9780765356154.Sophisticated, witty, and ingeniously convincing, Susanna Clarke's magisterial novel weaves magic into a flawlessly detailed vision of historical England. She has created a world so thoroughly enchanting that eight hundred pages leave readers longing for more.English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could command winds, mountains, and woods. But by the early 1800s they have long since lost the ability to perform magic. They can only write long, dull papers about it, while fairy servants are nothing but a fading memory.But at Hurtfew Abbey in Yorkshire, the rich, reclusive Mr Norrell has assembled a wonderful library of lost and forgotten books from England's magical past and regained some of the powers of England's magicians. He goes to London and raises a beautiful young woman from the dead. Soon he is lending his help to the government in the war against Napoleon Bonaparte, creating ghostly fleets of rain-ships to confuse and alarm the French.All goes well until a rival magician appears. Jonathan Strange is handsome, charming, and talkative-the very opposite of Mr Norrell. Strange thinks nothing of enduring the rigors of campaigning with Wellington's army and doing magic on battlefields. Astonished to find another practicing magician, Mr Norrell accepts Strange as a pupil. But it soon becomes clear that their ideas of what English magic ought to be are very different. For Mr Norrell, their power is something to be cautiously controlled, while Jonathan Strange will always be attracted to the wildest, most perilous forms of magic. He becomes fascinated by the ancient, shadowy figure of the Raven King, a child taken by fairies who became king of both England and Faerie, and the most legendary magician of all. Eventually Strange's heedless pursuit of long-forgotten magic threatens to destroy not only his partnership with Norrell, but everything that he holds dear.
Nicholas Sparks	A Bend in the Road	romance	Miles Ryan's life seemed to end the day his wife was killed in a hit-and-run accident two years ago. Missy had been his first love, and Miles fervently believes she will be his last. As a deputy in the North Carolina town of New Bern, Miles Ryan not only grieves for Missy, but also longs to bring the unknown driver to justice. Then Miles meets Sarah Andrews. The second grade teacher of his son, Jonah, Sarah had left Baltimore after a difficult divorce to start over in the gentler surroundings of New Bern. Perhaps it's her own emotional wounds that make her sensitive to the hurt she first sees in Jonah's eyes, and then his father's. Tentatively, Sarah and Miles reach out to each other. Soon they are both laughing for the first time in years . . . and falling in love. Neither will be able to guess how closely linked they are to a shocking secret -- one that will force them to question everything they ever believed in . . . and make a heartbreaking choice that will change their lives forever.
Rick Riordan	The House of Hades (The Heroes of Olympus, #4)	fantasy	Hazel stands at a crossroads. She and the remaining crew of the Argo II could return home with the Athena Parthenos statue and try to stop Camp Half-Blood and Camp Jupiter from going to war. Or they could continue their quest to find the House of Hades, where they might be able to open the Doors of Death, rescue their friends Percy and Annabeth from Tartarus, and prevent monsters from being reincarnated in the mortal world. Whichever road they decide to take, they have to hurry, because time is running out. Gaea, the bloodthirsty Earth Mother, has set the date of August 1 for her rise to power.Annabeth and Percy are overwhelmed. How will the two of them make it through Tartarus? Starving, thirsty, and in pain, they are barely able to stumble on in the dark and poisonous landscape that holds new horrors at every turn. They have no way of locating the Doors of Death. Even if they did, a legion of Gaea's strongest monsters guards the Doors on the Tartarus side. Annabeth and Percy can't exactly launch a frontal assault.Despite the terrible odds, Hazel, Annabeth, Percy, and the other demigods of the prophecy know that there is only one choice: to attempt the impossible. Not just for themselves, but for everyone they love. Even though love can be the riskiest choice of all.Join the demigods as they face their biggest challenges yet in The House of Hades, the hair-raising penultimate book in the best-selling Heroes of Olympus series.
Michael  Grant	Gone (Gone, #1)	young_adult	In the blink of an eye, everyone disappears. Gone. Except for the young.There are teens, but not one single adult. Just as suddenly, there are no phones, no internet, no television. No way to get help. And no way to figure out what's happened.Hunger threatens. Bullies rule. A sinister creature lurks. Animals are mutating. And the teens themselves are changing, developing new talents—unimaginable, dangerous, deadly powers—that grow stronger by the day. It's a terrifying new world. Sides are being chosen, a fight is shaping up. Townies against rich kids. Bullies against the weak. Powerful against powerless. And time is running out: On your 15th birthday, you disappear just like everyone else...
